Name,Muscle,Equipment,Rating,Type,Level,Description
Straight-bar wrist roll-up,Forearms,,9.5,Strength,Intermediate,"1. Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width. This will be your starting position.
2. Alternating between each of your hands, perform the movement by extending the wrist as though you were rolling up a newspaper. Continue alternating back and forth until failure.
3. Reverse the motion by flexing the wrist, rolling the opposite direction. Continue the alternating motion until failure."
Barbell glute bridge,Glutes,Barbell,9.4,Powerlifting,Intermediate,"1. Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.
2. Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet.
3. Extend as far as possible, then reverse the motion to return to the starting position."
Clean and press,Shoulders,Barbell,9.4,Strength,Intermediate,"1. Assume a shoulder-width stance, with knees inside the arms. Now while keeping the back flat, bend at the knees and hips so that you can grab the bar with the arms fully extended and a pronated grip that is slightly wider than shoulder width. Point the elbows out to sides. The bar should be close to the shins. Position the shoulders over or slightly ahead of the bar. Establish a flat back posture. This will be your starting position.
2. Begin to pull the bar by extending the knees. Move your hips forward and raise the shoulders at the same rate while keeping the angle of the back constant; continue to lift the bar straight up while keeping it close to your body.
3. As the bar passes the knee, extend at the ankles, knees, and hips forcefully, similar to a jumping motion. As you do so, continue to guide the bar with your hands, shrugging your shoulders and using the momentum from your movement to pull the bar as high as possible. The bar should travel close to your body, and you should keep your elbows out.
4. At maximum elevation, your feet should clear the floor and you should start to pull yourself under the bar. The mechanics of this could change slightly, depending on the weight used. You should descend into a squatting position as you pull yourself under the bar.
5. As the bar hits terminal height, rotate your elbows around and under the bar. Rack the bar across the front of the shoulders while keeping the torso erect and flexing the hips and knees to absorb the weight of the bar.
6. Stand to full height, holding the bar in the clean position.
7. Without moving your feet, press the bar overhead as you exhale. Lower the bar under control ."
Triceps dip,Triceps,Body Only,9.4,Strength,Intermediate,"1. To get into the starting position, hold your body at arm's length with your arms nearly locked above the bars.
2. Now, inhale and slowly lower yourself downward. Your torso should remain upright and your elbows should stay close to your body. This helps to better focus on tricep involvement. Lower yourself until there is a 90 degree angle formed between the upper arm and forearm.
3. Then, exhale and push your torso back up using your triceps to bring your body back to the starting position.
4. Repeat the movement for the prescribed amount of repetitions.

Variations:
 If you are new at this exercise and do not have the strength to perform it, use a dip assist machine if available. These machines use weight to help you push your bodyweight.

Otherwise, a spotter holding your legs can help.

More advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates."
Dumbbell farmer's walk,Forearms,Other,9.4,Strongman,Intermediate,"1. There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements.
2. After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up.
3. Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible."
Palms-up wrist curl over bench,Forearms,Barbell,9.4,Strength,Intermediate,"1. Start out by placing a barbell on one side of a flat bench.
2. Kneel down on both of your knees so that your body is facing the flat bench.
3. Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.
4. Start out by curling your wrist upwards and exhaling.
5. Slowly lower your wrists back down to the starting position while inhaling.
6. Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.
7. Repeat for the recommended amount of repetitions.

Variations:

• This exercise can also be performed sitting down by using your thighs as a resting position for your forearms. Your wrist can hang over your knees and the same movements as mentioned above can be performed.
• You can also use a dumbbell instead of a barbell."
Barbell Full Squat,Quadriceps,Barbell,9.4,Strength,Intermediate,"1. This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
2. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
3. Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.
4. Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.
5. Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.
6. Repeat for the recommended amount of repetitions.
This type of squat allows a greater range of motion, and allows the trunk to maintain a more vertical position than other types of squats, due to foot position and the higher bar position."
Barbell deficit deadlift,Lower Back,Barbell,9.4,Powerlifting,Beginner,"1. Begin by having a platform or weight plates that you can stand on, usually 1-3 inches in height. Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets.
2. With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
3. Lower the bar by bending at the hips and guiding it to the floor."
Barbell Deadlift,Hamstrings,Barbell,9.4,Strength,Intermediate,"1. Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip.
2. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward.
3. After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
4. Lower the bar by bending at the hips and guiding it to the floor."
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,9.4,Strength,Intermediate,"1. Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance.
2. Your feet should be shoulder width apart from each other. Now slowly lift the dumbbell up until you create a 90 degree angle with your arm.Note:Your forearm should be perpendicular to the floor. Continue to maintain a neutral grip throughout the entire exercise.
3. Slowly lift the dumbbell up until your arm is fully extended. This the starting position.
4. While inhaling lower the weight down until your arm is at a 90 degree angle again.
5. Feel the contraction for a second and then lift the weight back up towards the starting position while exhaling. Remember to hold on to the incline bench and keep your feet positioned to keep balance during the exercise.
6. Repeat for the recommended amount of repetitions.
7. Switch arms and repeat the exercise.

Variation:
 This exercise can be performed with dumbbells in each arm as the dumbbells will help to keep you balanced. This is another great way to add variety to your routines and keep them interesting."
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,9.4,Strength,Beginner,"1. Begin in a standing position with a dumbbell in each hand. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position.
2. Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels.
3. Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise.
4. When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips."
Tire flip,Quadriceps,Other,9.4,Strongman,Intermediate,"1. Begin by gripping the bottom of the tire on the tread, and position your feet back a bit. Your chest should be driving into the tire.
2. To lift the tire, extend through the hips, knees, and ankles, driving into the tire and up.
3. As the tire reaches a 45 degree angle, step forward and drive a knee into the tire. As you do so adjust your grip to the upper portion of the tire and push it forward as hard as possible to complete the turn. Repeat as necessary."
Clean Deadlift,Hamstrings,Barbell,9.4,Olympic Weightlifting,Beginner,"1. Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible.
2. Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path.
3. After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended."
Elbow plank,Abdominals,Body Only,9.3,Strength,Intermediate,"1. Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder.
2. Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised."
Bottoms Up,Abdominals,Body Only,9.3,Strength,Intermediate,"1. Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.
2. To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor.
3. After a brief pause, return to the starting position."
Barbell back squat to box,Quadriceps,Barbell,9.3,Powerlifting,Intermediate,"1. The box squat allows you to squat to desired depth and develop explosive strength in the squat movement. Begin in a power rack with a box at the appropriate height behind you. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.
2. Begin by stepping under the bar and placing it across the back of the shoulders. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders. Remove the bar from the rack, creating a tight arch in your lower back, and step back into position. Place your feet wider for more emphasis on the back, glutes, adductors, and hamstrings, or closer together for more quad development. Keep your head facing forward.
3. With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. Ideally, your shins should be perpendicular to the ground. Pause when you reach the box, and relax the hip flexors. Never bounce off of a box.
4. Keeping the weight on your heels and pushing your feet and knees out, drive upward off of the box as you lead the movement with your head. Continue upward, maintaining tightness head to toe."
Clean and jerk,Shoulders,Barbell,9.3,Olympic Weightlifting,Intermediate,"1. With a barbell on the floor close to the shins, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.
2. Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.
3. Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.
4. As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.
5. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.
6. The second phase is the jerk, which raises the weight overhead. Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible.
7. Drive through the heels create as much speed and force as possible, and be sure to move your head out of the way as the bar leaves the shoulders.
8. At this moment as the feet leave the floor, the feet must be placed into the receiving position as quickly as possible. In the brief moment the feet are not actively driving against the platform, the athletes effort to push the bar up will drive them down. The feet should be split, with one foot forward, and one foot back. Receive the bar with the arms locked out overhead. Return to a standing position."
Single-arm kettlebell push-press,Shoulders,Kettlebells,9.3,Strength,Intermediate,"1. Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.
2. Dip your body by bending the knees, keeping your torso upright.
3. Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight. Lower the weight to perform the next repetition."
Push-press,Quadriceps,Barbell,9.3,Olympic Weightlifting,Intermediate,"Beginning Position:

• Use the floor-to-shoulder lifting technique described in thePower Cleanexercise to move the bar from the floor to the shoulders.

Upward Movement Phase:

• Slightly flex the hips and knees, keeping torso erect.
• Immediately follow with an explosive push upward by extending the knees.
• Keep torso erect and tensed.
• At maximum hip and knee extension, shift body weight to balls of feet and extend ankle joints.
• At maximum plantar flexion, push bar from the shoulders.
• Push the bar with the arms to a fully extended elbow position overhead.

Downward Movement Phase:

• Lower bar to shoulders.
• Flex hips and knees slightly as bar touches shoulders.
• Straighten the hips and knees before the upward movement phase begins again.

Breathing:

• Exhale through the sticking point of the upward movement phase.
• Inhale during the downward movement phase."
Suspended ab fall-out,Abdominals,Other,9.3,Strength,Intermediate,"1. Adjust the straps so the handles are at an appropriate height, below waist level.
2. Begin standing and grasping the handles. Lean into the straps, moving to an incline push-up position. This will be your starting position.
3. Keeping your arms straight, lean further into the suspension straps, bringing your body closer to the ground, allowing your shoulders to extend, raising your arms up and over your head.
4. Maintain a neutral spine and keep the rest of your body straight, your shoulders being the only joints allowed to move.
5. Pause during the peak contraction, and then return to the starting position."
Military press,Shoulders,Barbell,9.3,Strength,Intermediate,"1. Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other.
2. Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other.
3. Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
4. Lower the bar down to the collarbone slowly as you inhale.
5. Lift the bar back up to the starting position as you exhale.
6. Repeat for the recommended amount of repetitions.

Variations:

• This exercise can also be performed sitting as those with lower back problems are better off performing this seated variety.
• The behind the neck variation is not recommended for people with shoulder problems as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.
• Another option is to use dumbbells when performing this exercise for better isolation."
Power snatch-,Quadriceps,Barbell,9.3,Olympic Weightlifting,Expert,"1. Place your feet at a shoulder width stance with the barbell resting right above the connection between the toes and the rest of the foot.
2. With a palms facing down grip, bend at the knees and keeping the back flat grab the bar using a wider than shoulder width grip. Bring the hips down and make sure that your body drops as if you were going to sit on a chair. This will be your starting position.
3. Start pushing the floor as if it were a moving platform with your feet and simultaneously start lifting the barbell keeping it close to your legs.
4. As the bar reaches the middle of your thighs, push the floor with your legs and lift your body to a complete extension in an explosive motion.
5. Lift your shoulders back in a shrugging movement as you bring the bar up while lifting your elbows out to the side and keeping them above the bar for as long as possible.
6. Now in a very quick but powerful motion, you have to get your body under the barbell when it has reached a high enough point where it can be controlled and drop while locking your arms and holding the barbell overhead as you assume a squat position.
7. Finalize the movement by rising up out of the squat position to finish the lift. At the end of the lift both feet should be on line and the arms fully extended holding the barbell overhead.

Caution:
 This is a very advanced exercise so be extremely careful with the weight used. Bad form on this exercise can lead to serious injury."
Sumo deadlift,Hamstrings,Barbell,9.3,Powerlifting,Beginner,"1. Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms.
2. Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees.
3. As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together.
4. Return the weight to the ground by bending at the hips and controlling the weight on the way down."
Hang Clean,Quadriceps,Barbell,9.3,Olympic Weightlifting,Beginner,"1. Begin with a shoulder width, double overhand or hook grip, with the bar hanging at the mid thigh position. Your back should be straight and inclined slightly forward.
2. Begin by aggressively extending through the hips, knees and ankles, driving the weight upward. As you do so, shrug your shoulders towards your ears.
As full extension is achieved, transition into the final pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.3.  Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position."
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,9.3,Strength,Intermediate,"1. Begin seated on your butt with your knees bent and feet on the ground. Lean your upper body back to form a 45-degree angle with the floor. Bring your feet off the ground so that your body resembles a ""V"" shape.
2. Grasp a dumbbell in each hand and hold tight to your chest with palms facing each other. This will be your starting position.
3. While keeping your core tight and maintaining your body's ""V"" position, quickly extend your left arm straight out (similar to a jab) and then bring it back to the starting position while simultaneously punching out with the right arm.
4. Your torso and legs may slightly rotate side to side opposite of your hands throughout the movementâ€”this is okay.
5. A punch with each hand counts as one total repetition. Repeat for recommended number of repetitions."
Reverse Band Box Squat,Quadriceps,,9.3,Powerlifting,Intermediate,"1. Begin in a power rack with a box at the appropriate height behind you. Set up the bands either on band pegs or attached to the top of the rack, ensuring they will be directly above the bar during the squat. Attach the other end to the bar.
2. Begin by stepping under the bar and placing it across the back of the shoulders. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders. Remove the bar from the rack, creating a tight arch in your lower back, and step back into position. Place your feet wider for more emphasis on the back, glutes, adductors, and hamstrings, or closer together for more quad development. Keep your head facing forward.
3. With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. Ideally, your shins should be perpendicular to the ground. Pause when you reach the box, and relax the hip flexors. Never bounce off of a box.
4. Keeping the weight on your heels and pushing your feet and knees out, drive upward off of the box as you lead the movement with your head. Continue upward, maintaining tightness head to toe. Use care to return the barbell to the rack."
Standing palms-in shoulder press,Shoulders,Dumbbell,9.3,Strength,Intermediate,"1. Start by having a dumbbell in each hand with your arm fully extended to the side using a neutral grip. Your feet should be shoulder width apart from each other. Now slowly lift the dumbbells up until you create a 90 degree angle with your arms.Note:Your forearms should be perpendicular to the floor. This the starting position.
2. Continue to maintain a neutral grip throughout the entire exercise. Slowly lift the dumbbells up until your arms are fully extended.
3. While inhaling lower the weights down until your arm is at a 90 degree angle again.
4. Repeat for the recommended amount of repetitions.

Variation:
 This exercise can be performed with a dumbbell in one arm and another holding on to an incline bench. This is another great way to add variety to your routines and keep them interesting."
Standing cable low-to-high twist,Abdominals,Cable,9.3,Strength,Intermediate,"1. Connect a standard handle on a tower, and move the cable to the lowest pulley position.
2. With your side to the cable, grab the handle with one hand and step away from the tower. You should be approximately armâ€™s length away from the pulley, with the tension of the weight on the cable. Your outstretched arm should be aligned with the cable.
3. With your feet positioned shoulder width apart, squat down and grab the handle with both hands. Your arms should still be fully extended.
4. In one motion, pull the handle up and across your body until your arms are in a fully-extended position above your head.
5. Keep your back straight and your arms close to your body as you pivot your back foot and straighten your legs to get a full range of motion.
6. Retract your arms and then your body. Return to the neutral position in a slow and controlled manner.
7. Repeat to failure.
8. Then, reposition and repeat the same series of movements on the opposite side.
Tip: You will twist your entire body with this exercise, but focus on getting maximal torso rotation and a strong clinch at the end of the movement. To ensure a good mind-muscle connection, keep your abs tense at all times."
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,9.3,Strength,Intermediate,"1. Secure your legs at the end of the decline bench and slowly lay down on the bench.
2. Using a close grip (a grip that is slightly less than shoulder width), lift the EZ bar from the rack and hold it straight over you with your arms locked and elbows in. The arms should be perpendicular to the floor. This will be your starting position.Tip:In order to protect your rotator cuff, it is best if you have a spotter help you lift the barbell off the rack.
3. As you breathe in and you keep the upper arms stationary, bring the bar down slowly by moving your forearms in a semicircular motion towards you until you feel the bar slightly touch your forehead. Breathe in as you perform this portion of the movement.
4. Lift the bar back to the starting position by contracting the triceps and exhaling.
5. Repeat until the recommended amount of repetitions is performed.

Variations:
 You can use a straight bar or dumbbells to perform this movement. You can also perform it on a flat bench as well."
Standing behind-the-back wrist curl,Forearms,Barbell,9.3,Strength,Beginner,"1. Start by standing straight and holding a barbell behind your glutes at arm's length while using a pronated grip (palms will be facing back away from the glutes) and having your hands shoulder width apart from each other.
2. You should be looking straight forward while your feet are shoulder width apart from each other. This is the starting position.
3. While exhaling, slowly elevate the barbell up by curling your wrist in a semi-circular motion towards the ceiling.Note:Your wrist should be the only body part moving for this exercise.
4. Hold the contraction for a second and lower the barbell back down to the starting position while inhaling.
5. Repeat for the recommended amount of repetitions.
6. When finished, lower the barbell down to the squat rack or the floor by bending the knees.Tip:It is easiest to either pick it up from a squat rack or have a partner hand it to you.

Variations:
 You can also perform this exercise with dumbbells using the same movements as described above. Another option is to use one dumbbell at a time for better isolation."
Seated finger curl,Forearms,Barbell,9.3,Strength,Beginner,"1. Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.
2. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position.
3. Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers.
4. Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top."
Wide-grip barbell curl,Biceps,Barbell,9.3,Strength,Beginner,"1. Stand up with your torso upright while holding a barbell at the wide outer handle. The palm of your hands should be facing forward. The elbows should be close to the torso. This will be your starting position.
2. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out.Tip:Only the forearms should move.
3. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.
4. Slowly begin to bring the bar back to starting position as your breathe in.
5. Repeat for the recommended amount of repetitions.

Variations:

• You can also perform this movement using an E-Z bar or E-Z attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement.
• You may also use the closer grip for variety purposes."
Dumbbell spell caster,Abdominals,Dumbbell,9.3,Strength,Beginner,"1. Hold a dumbbell in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position.
2. Begin the movement by pulling both of the dumbbells to one side next to your hip, rotating your torso.
3. Keeping your arms straight and the dumbbells parallel to the ground, rotate your torso to swing the weights to your opposite side.
4. Continue alternating, rotating from one side to the other until the set is complete."
Dumbbell floor press,Triceps,Dumbbell,9.3,Powerlifting,Intermediate,"1. Lay on the floor holding dumbbells in your hands. Your knees can be bent. Begin with the weights fully extended above you.
2. Lower the weights until your upper arm comes in contact with the floor. You can tuck your elbows to emphasize triceps size and strength, or to focus on your chest angle your arms to the side.
3. Pause at the bottom, and then bring the weight together at the top by extending through the elbows."
